assemblyid	accession	length	chrname	chrtype
GCF_007399415.2_rGopEvg1_v1.p	NC_044332.1	81157593	scaffold_12_arrow_ctg1	macro
GCF_007399415.2_rGopEvg1_v1.p	NC_044333.1	44291995	scaffold_14_arrow_ctg1	macro
GCF_007399415.2_rGopEvg1_v1.p	NC_044334.1	34052379	scaffold_16_arrow_ctg1	macro
GCF_007399415.2_rGopEvg1_v1.p	NC_044335.1	34023795	scaffold_17_arrow_ctg1	macro
GCF_007399415.2_rGopEvg1_v1.p	NC_044336.1	30016314	scaffold_19_arrow_ctg1	macro
GCF_007399415.2_rGopEvg1_v1.p	NC_044337.1	26755340	scaffold_21_arrow_ctg1	macro
GCF_007399415.2_rGopEvg1_v1.p	NC_044338.1	24966275	scaffold_22_arrow_ctg1	micro
GCF_007399415.2_rGopEvg1_v1.p	NC_044339.1	23166772	scaffold_23_arrow_ctg1	micro
GCF_007399415.2_rGopEvg1_v1.p	NC_044340.1	22456854	scaffold_24_arrow_ctg1	micro
GCF_007399415.2_rGopEvg1_v1.p	NC_044341.1	19814809	scaffold_25_arrow_ctg1	micro
GCF_007399415.2_rGopEvg1_v1.p	NC_044342.1	18349496	scaffold_26_arrow_ctg1	micro
GCF_007399415.2_rGopEvg1_v1.p	NC_044343.1	17272090	scaffold_27_arrow_ctg1	micro
GCF_007399415.2_rGopEvg1_v1.p	NC_044344.1	15774734	scaffold_28_arrow_ctg1	micro
GCF_007399415.2_rGopEvg1_v1.p	NC_044345.1	12531862	scaffold_29_arrow_ctg1	micro
GCF_009769535.1_rThaEle1.pri	NC_045541.1	186725308	Super_Scaffold_2	macro
GCF_009769535.1_rThaEle1.pri	NC_045542.1	174860051	Super_Scaffold_1	macro
GCF_009769535.1_rThaEle1.pri	NC_045543.1	152012178	Super_Scaffold_4	macro
GCF_009769535.1_rThaEle1.pri	NC_045544.1	142845885	Super_Scaffold_3	macro
GCF_009769535.1_rThaEle1.pri	NC_045545.1	100851885	Super_Scaffold_6	macro
GCF_009769535.1_rThaEle1.pri	NC_045546.1	88492469	Super_Scaffold_7	macro
GCF_009769535.1_rThaEle1.pri	NC_045547.1	85988580	Super_Scaffold_8	macro
GCF_009769535.1_rThaEle1.pri	NC_045548.1	80819035	Super_Scaffold_9	macro
GCF_009769535.1_rThaEle1.pri	NC_045549.1	77618485	Super_Scaffold_10	macro
GCF_009769535.1_rThaEle1.pri	NC_045550.1	71714719	Super_Scaffold_11	macro
GCF_009769535.1_rThaEle1.pri	NC_045551.1	71291765	Super_Scaffold_12	macro
GCF_009769535.1_rThaEle1.pri	NC_045552.1	60626299	Super_Scaffold_13	macro
GCF_009769535.1_rThaEle1.pri	NC_045553.1	50576291	Super_Scaffold_14	macro
GCF_009769535.1_rThaEle1.pri	NC_045554.1	49402056	Super_Scaffold_15	macro
GCF_009769535.1_rThaEle1.pri	NC_045555.1	49092584	Super_Scaffold_16	macro
GCF_009769535.1_rThaEle1.pri	NC_045556.1	39734741	Super_Scaffold_17	macro
GCF_009769535.1_rThaEle1.pri	NC_045557.1	17174197	Super_Scaffold_18	micro
GCF_009769535.1_rThaEle1.pri	NC_045558.1	145130870	Super_Scaffold_5	macro
GCF_009819535.1_rLacAgi1.pri	NC_046312.1	133750839	Super_scaffold_1	macro
GCF_009819535.1_rLacAgi1.pri	NC_046313.1	120754861	Super_scaffold_3	macro
GCF_009819535.1_rLacAgi1.pri	NC_046314.1	118060892	Super_scaffold_2	macro
GCF_009819535.1_rLacAgi1.pri	NC_046315.1	100704004	Super_scaffold_4	macro
GCF_009819535.1_rLacAgi1.pri	NC_046316.1	95883647	Super_scaffold_5	macro
GCF_009819535.1_rLacAgi1.pri	NC_046317.1	95499011	Super_scaffold_6	macro
GCF_009819535.1_rLacAgi1.pri	NC_046318.1	86565987	Super_scaffold_7	macro
GCF_009819535.1_rLacAgi1.pri	NC_046319.1	84102018	Super_scaffold_8	macro
GCF_009819535.1_rLacAgi1.pri	NC_046320.1	74758939	Super_scaffold_10	macro
GCF_009819535.1_rLacAgi1.pri	NC_046321.1	70688303	Super_scaffold_9	macro
GCF_009819535.1_rLacAgi1.pri	NC_046322.1	61599656	Super_scaffold_18	macro
GCF_009819535.1_rLacAgi1.pri	NC_046323.1	56660093	Super_scaffold_13	macro
GCF_009819535.1_rLacAgi1.pri	NC_046324.1	52485139	Super_scaffold_12	macro
GCF_009819535.1_rLacAgi1.pri	NC_046325.1	51720411	Super_scaffold_11	macro
GCF_009819535.1_rLacAgi1.pri	NC_046326.1	43910048	Super_scaffold_15	macro
GCF_009819535.1_rLacAgi1.pri	NC_046327.1	40449263	Super_scaffold_16	macro
GCF_009819535.1_rLacAgi1.pri	NC_046328.1	40056199	Super_scaffold_17	macro
GCF_009819535.1_rLacAgi1.pri	NC_046329.1	12095641	Super_scaffold_19	micro
GCF_009819535.1_rLacAgi1.pri	NC_046330.1	3982059	Super_scaffold_20	micro
GCF_009819535.1_rLacAgi1.pri	NC_046331.1	47440541	Super_scaffold_14	macro
GCF_011800845.1_UG_Zviv_1	NC_048605.1	131769443	LG1	macro
GCF_011800845.1_UG_Zviv_1	NC_048606.1	117834363	LG2	macro
GCF_011800845.1_UG_Zviv_1	NC_048607.1	116371480	LG3	macro
GCF_011800845.1_UG_Zviv_1	NC_048608.1	100631306	LG4	macro
GCF_011800845.1_UG_Zviv_1	NC_048609.1	98023110	LG5	macro
GCF_011800845.1_UG_Zviv_1	NC_048610.1	94199661	LG6	macro
GCF_011800845.1_UG_Zviv_1	NC_048611.1	92810032	LG7	macro
GCF_011800845.1_UG_Zviv_1	NC_048612.1	79626714	LG8	macro
GCF_011800845.1_UG_Zviv_1	NC_048613.1	69679922	LG9	macro
GCF_011800845.1_UG_Zviv_1	NC_048614.1	54413957	LG10	macro
GCF_011800845.1_UG_Zviv_1	NC_048615.1	51059636	LG11	macro
GCF_011800845.1_UG_Zviv_1	NC_048616.1	49589567	LG12	macro
GCF_011800845.1_UG_Zviv_1	NC_048617.1	48213930	LG13	macro
GCF_011800845.1_UG_Zviv_1	NC_048618.1	46006402	LG14	macro
GCF_011800845.1_UG_Zviv_1	NC_048619.1	44540502	LG15	macro
GCF_011800845.1_UG_Zviv_1	NC_048620.1	40703745	LG16	macro
GCF_011800845.1_UG_Zviv_1	NC_048621.1	39436030	LG17	macro
GCF_011800845.1_UG_Zviv_1	NC_048622.1	35462695	LG18	macro
GCF_011800845.1_UG_Zviv_1	NC_048623.1	24898947	LG19	micro
GCF_013100865.1_CAS_Tse_1.0	NC_048298.1	347660827	chr1	macro
GCF_013100865.1_CAS_Tse_1.0	NC_048299.1	283098403	chr2	macro
GCF_013100865.1_CAS_Tse_1.0	NC_048300.1	201239519	chr3	macro
GCF_013100865.1_CAS_Tse_1.0	NC_048301.1	142343550	chr4	macro
GCF_013100865.1_CAS_Tse_1.0	NC_048302.1	140411086	chr5	macro
GCF_013100865.1_CAS_Tse_1.0	NC_048303.1	129675691	chr6	macro
GCF_013100865.1_CAS_Tse_1.0	NC_048304.1	126808733	chr7	macro
GCF_013100865.1_CAS_Tse_1.0	NC_048305.1	109307977	chr8	macro
GCF_013100865.1_CAS_Tse_1.0	NC_048306.1	104972506	chr9	macro
GCF_013100865.1_CAS_Tse_1.0	NC_048307.1	85829911	chr10	macro
GCF_013100865.1_CAS_Tse_1.0	NC_048308.1	76047897	chr11	macro
GCF_013100865.1_CAS_Tse_1.0	NC_048309.1	45061502	chr12	macro
GCF_013100865.1_CAS_Tse_1.0	NC_048310.1	43716676	chr13	macro
GCF_013100865.1_CAS_Tse_1.0	NC_048311.1	42221082	chr14	macro
GCF_013100865.1_CAS_Tse_1.0	NC_048312.1	32210117	chr15	macro
GCF_013100865.1_CAS_Tse_1.0	NC_048313.1	30045477	chr16	macro
GCF_013100865.1_CAS_Tse_1.0	NC_048314.1	26830997	chr17	macro
GCF_013100865.1_CAS_Tse_1.0	NC_048315.1	24772400	chr18	micro
GCF_013100865.1_CAS_Tse_1.0	NC_048316.1	22813715	chr19	micro
GCF_013100865.1_CAS_Tse_1.0	NC_048317.1	19368400	chr20	micro
GCF_013100865.1_CAS_Tse_1.0	NC_048318.1	19049219	chr21	micro
GCF_013100865.1_CAS_Tse_1.0	NC_048319.1	16439607	chr22	micro
GCF_013100865.1_CAS_Tse_1.0	NC_048320.1	16074632	chr23	micro
GCF_013100865.1_CAS_Tse_1.0	NC_048321.1	15148950	chr24	micro
GCF_013100865.1_CAS_Tse_1.0	NC_048322.1	7130772	chr25	micro
