Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name	docid	chrname	seqid	speciescode	genomefa
chr15	assembled-molecule	15	Chromosome	CM030816.1	<>	na	Primary Assembly	19636776	na	9931631	chrchr15	CM030816.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr16	assembled-molecule	16	Chromosome	CM030817.1	<>	na	Primary Assembly	17146250	na	9931631	chrchr16	CM030817.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr17	assembled-molecule	17	Chromosome	CM030818.1	<>	na	Primary Assembly	17757371	na	9931631	chrchr17	CM030818.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr18	assembled-molecule	18	Chromosome	CM030819.1	<>	na	Primary Assembly	13056196	na	9931631	chrchr18	CM030819.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr19	assembled-molecule	19	Chromosome	CM030820.1	<>	na	Primary Assembly	14292917	na	9931631	chrchr19	CM030820.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr20	assembled-molecule	20	Chromosome	CM030821.1	<>	na	Primary Assembly	13139568	na	9931631	chrchr20	CM030821.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr21	assembled-molecule	21	Chromosome	CM030822.1	<>	na	Primary Assembly	9638944	na	9931631	chrchr21	CM030822.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr22	assembled-molecule	22	Chromosome	CM030823.1	<>	na	Primary Assembly	8298522	na	9931631	chrchr22	CM030823.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr23	assembled-molecule	23	Chromosome	CM030824.1	<>	na	Primary Assembly	5869166	na	9931631	chrchr23	CM030824.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr24	assembled-molecule	24	Chromosome	CM030825.1	<>	na	Primary Assembly	6129311	na	9931631	chrchr24	CM030825.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr25	assembled-molecule	25	Chromosome	CM030826.1	<>	na	Primary Assembly	7973488	na	9931631	chrchr25	CM030826.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr26	assembled-molecule	26	Chromosome	CM030827.1	<>	na	Primary Assembly	3191501	na	9931631	chrchr26	CM030827.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr27	assembled-molecule	27	Chromosome	CM030828.1	<>	na	Primary Assembly	7639930	na	9931631	chrchr27	CM030828.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr28	assembled-molecule	28	Chromosome	CM030829.1	<>	na	Primary Assembly	7839570	na	9931631	chrchr28	CM030829.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr29	assembled-molecule	29	Chromosome	CM030830.1	<>	na	Primary Assembly	2937316	na	9931631	chrchr29	CM030830.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chrZ	assembled-molecule	Z	Chromosome	CM030831.1	<>	na	Primary Assembly	85346818	na	9931631	chrchrZ	CM030831.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
HiC_scaffold_31	unplaced-scaffold	na	na	JAGKTE010000031.1	<>	na	Primary Assembly	2103509	na	9931631	chrHiC_scaffold_31	JAGKTE010000031.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
HiC_scaffold_32	unplaced-scaffold	na	na	JAGKTE010000032.1	<>	na	Primary Assembly	1971263	na	9931631	chrHiC_scaffold_32	JAGKTE010000032.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
HiC_scaffold_33	unplaced-scaffold	na	na	JAGKTE010000033.1	<>	na	Primary Assembly	1628504	na	9931631	chrHiC_scaffold_33	JAGKTE010000033.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
HiC_scaffold_34	unplaced-scaffold	na	na	JAGKTE010000034.1	<>	na	Primary Assembly	1587956	na	9931631	chrHiC_scaffold_34	JAGKTE010000034.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
HiC_scaffold_35	unplaced-scaffold	na	na	JAGKTE010000035.1	<>	na	Primary Assembly	1112426	na	9931631	chrHiC_scaffold_35	JAGKTE010000035.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
scaffold_2_ctg1	assembled-molecule	1	Chromosome	LR606181.1	=	NC_044004.1	Primary Assembly	85456622	na	9982011	chrscaffold_2_ctg1	NC_044004.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
Super_Scaffold_1	assembled-molecule	2	Chromosome	LR606182.1	=	NC_044005.1	Primary Assembly	83001952	na	9982011	chrSuper_Scaffold_1	NC_044005.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
Super_Scaffold_3	assembled-molecule	3	Chromosome	LR606183.1	=	NC_044006.1	Primary Assembly	79382107	na	9982011	chrSuper_Scaffold_3	NC_044006.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
scaffold_4_ctg1	assembled-molecule	4	Chromosome	LR606184.1	=	NC_044007.1	Primary Assembly	77266225	na	9982011	chrscaffold_4_ctg1	NC_044007.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
scaffold_5_ctg1	assembled-molecule	5	Chromosome	LR606185.1	=	NC_044008.1	Primary Assembly	76621501	na	9982011	chrscaffold_5_ctg1	NC_044008.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
Super_Scaffold_6	assembled-molecule	6	Chromosome	LR606186.1	=	NC_044009.1	Primary Assembly	54402963	na	9982011	chrSuper_Scaffold_6	NC_044009.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
scaffold_7_ctg1	assembled-molecule	7	Chromosome	LR606187.1	=	NC_044010.1	Primary Assembly	47779391	na	9982011	chrscaffold_7_ctg1	NC_044010.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
scaffold_8_ctg1	assembled-molecule	8	Chromosome	LR606188.1	=	NC_044011.1	Primary Assembly	46934974	na	9982011	chrscaffold_8_ctg1	NC_044011.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
scaffold_9_ctg1	assembled-molecule	9	Chromosome	LR606189.1	=	NC_044012.1	Primary Assembly	45241448	na	9982011	chrscaffold_9_ctg1	NC_044012.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
scaffold_11_ctg1	assembled-molecule	10	Chromosome	LR606190.1	=	NC_044013.1	Primary Assembly	43949808	na	9982011	chrscaffold_11_ctg1	NC_044013.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
scaffold_12_ctg1	assembled-molecule	11	Chromosome	LR606191.1	=	NC_044014.1	Primary Assembly	43755789	na	9982011	chrscaffold_12_ctg1	NC_044014.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
scaffold_13_ctg1	assembled-molecule	12	Chromosome	LR606192.1	=	NC_044015.1	Primary Assembly	43481500	na	9982011	chrscaffold_13_ctg1	NC_044015.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
scaffold_14_ctg1	assembled-molecule	13	Chromosome	LR606193.1	=	NC_044016.1	Primary Assembly	41790845	na	9982011	chrscaffold_14_ctg1	NC_044016.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
scaffold_15_ctg1	assembled-molecule	14	Chromosome	LR606194.1	=	NC_044017.1	Primary Assembly	34337559	na	9982011	chrscaffold_15_ctg1	NC_044017.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
Super_Scaffold_4	assembled-molecule	15	Chromosome	LR606195.1	=	NC_044018.1	Primary Assembly	30976502	na	9982011	chrSuper_Scaffold_4	NC_044018.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
Super_Scaffold_5	assembled-molecule	16	Chromosome	LR606196.1	=	NC_044019.1	Primary Assembly	30610376	na	9982011	chrSuper_Scaffold_5	NC_044019.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
scaffold_16_ctg1	assembled-molecule	17	Chromosome	LR606197.1	=	NC_044020.1	Primary Assembly	29699254	na	9982011	chrscaffold_16_ctg1	NC_044020.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
scaffold_17_ctg1	assembled-molecule	18	Chromosome	LR606198.1	=	NC_044021.1	Primary Assembly	28555659	na	9982011	chrscaffold_17_ctg1	NC_044021.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
scaffold_1_ctg1	assembled-molecule	19	Chromosome	LR606199.1	=	NC_044022.1	Primary Assembly	27976474	na	9982011	chrscaffold_1_ctg1	NC_044022.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
scaffold_20_ctg1	assembled-molecule	20	Chromosome	LR606200.1	=	NC_044023.1	Primary Assembly	25309643	na	9982011	chrscaffold_20_ctg1	NC_044023.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
scaffold_21_ctg1	assembled-molecule	21	Chromosome	LR606201.1	=	NC_044024.1	Primary Assembly	24756580	na	9982011	chrscaffold_21_ctg1	NC_044024.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
scaffold_22_ctg1	assembled-molecule	22	Chromosome	LR606202.1	=	NC_044025.1	Primary Assembly	22514005	na	9982011	chrscaffold_22_ctg1	NC_044025.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
scaffold_24_ctg1	assembled-molecule	23	Chromosome	LR606203.1	=	NC_044026.1	Primary Assembly	21012167	na	9982011	chrscaffold_24_ctg1	NC_044026.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
Super_Scaffold_2	assembled-molecule	24	Chromosome	LR606204.1	=	NC_044027.1	Primary Assembly	20993271	na	9982011	chrSuper_Scaffold_2	NC_044027.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
scaffold_25_ctg1	assembled-molecule	25	Chromosome	LR606205.1	=	NC_044028.1	Primary Assembly	19844373	na	9982011	chrscaffold_25_ctg1	NC_044028.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
scaffold_27_ctg1	assembled-molecule	26	Chromosome	LR606206.1	=	NC_044029.1	Primary Assembly	17717355	na	9982011	chrscaffold_27_ctg1	NC_044029.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
SUPER_W	assembled-molecule	W	Chromosome	HG999777.1	=	NC_054457.1	Primary Assembly	11729522	na	9982011	chrSUPER_W	NC_054457.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
Super_Scaffold_7	assembled-molecule	Z	Chromosome	LR606180.1	=	NC_044030.1	Primary Assembly	88216475	na	9982011	chrSuper_Scaffold_7	NC_044030.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
W_unloc_5	unlocalized-scaffold	W	Chromosome	UFQG04000052.1	=	NW_024470325.1	Primary Assembly	1231163	na	9982011	chrW_unloc_5	NW_024470325.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
W_unloc_3	unlocalized-scaffold	W	Chromosome	UFQG04000113.1	=	NW_024470323.1	Primary Assembly	4230054	na	9982011	chrW_unloc_3	NW_024470323.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
W_unloc_1	unlocalized-scaffold	W	Chromosome	UFQG04000114.1	=	NW_024470321.1	Primary Assembly	6364479	na	9982011	chrW_unloc_1	NW_024470321.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
W_unloc_2	unlocalized-scaffold	W	Chromosome	UFQG04000115.1	=	NW_024470322.1	Primary Assembly	5935341	na	9982011	chrW_unloc_2	NW_024470322.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
W_unloc_4	unlocalized-scaffold	W	Chromosome	UFQG04000116.1	=	NW_024470324.1	Primary Assembly	1990763	na	9982011	chrW_unloc_4	NW_024470324.1	AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna
SUPER_1	assembled-molecule	1	Chromosome	CM022632.1	=	NC_047527.1	Primary Assembly	155071706	na	6720861	chrSUPER_1	NC_047527.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_2	assembled-molecule	2	Chromosome	CM022633.1	=	NC_047528.1	Primary Assembly	121023092	na	6720861	chrSUPER_2	NC_047528.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_3	assembled-molecule	3	Chromosome	CM022634.1	=	NC_047529.1	Primary Assembly	118160750	na	6720861	chrSUPER_3	NC_047529.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_4	assembled-molecule	4	Chromosome	CM022635.1	=	NC_047530.1	Primary Assembly	112750338	na	6720861	chrSUPER_4	NC_047530.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_5	assembled-molecule	5	Chromosome	CM022636.1	=	NC_047531.1	Primary Assembly	87083378	na	6720861	chrSUPER_5	NC_047531.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_6	assembled-molecule	6	Chromosome	CM022637.1	=	NC_047532.1	Primary Assembly	86477950	na	6720861	chrSUPER_6	NC_047532.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_7	assembled-molecule	7	Chromosome	CM022638.1	=	NC_047533.1	Primary Assembly	73268660	na	6720861	chrSUPER_7	NC_047533.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_8	assembled-molecule	8	Chromosome	CM022639.1	=	NC_047534.1	Primary Assembly	57497735	na	6720861	chrSUPER_8	NC_047534.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_9	assembled-molecule	9	Chromosome	CM022640.1	=	NC_047535.1	Primary Assembly	45297783	na	6720861	chrSUPER_9	NC_047535.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_10	assembled-molecule	10	Chromosome	CM022641.1	=	NC_047536.1	Primary Assembly	35277360	na	6720861	chrSUPER_10	NC_047536.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_11	assembled-molecule	11	Chromosome	CM022642.1	=	NC_047537.1	Primary Assembly	24154513	na	6720861	chrSUPER_11	NC_047537.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_12	assembled-molecule	12	Chromosome	CM022643.1	=	NC_047538.1	Primary Assembly	23105471	na	6720861	chrSUPER_12	NC_047538.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_13	assembled-molecule	13	Chromosome	CM022644.1	=	NC_047539.1	Primary Assembly	12147643	na	6720861	chrSUPER_13	NC_047539.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_14	assembled-molecule	14	Chromosome	CM022645.1	=	NC_047540.1	Primary Assembly	6967098	na	6720861	chrSUPER_14	NC_047540.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_15	assembled-molecule	15	Chromosome	CM022646.1	=	NC_047541.1	Primary Assembly	6662068	na	6720861	chrSUPER_15	NC_047541.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_16	assembled-molecule	16	Chromosome	CM022647.1	=	NC_047542.1	Primary Assembly	6113794	na	6720861	chrSUPER_16	NC_047542.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_17	assembled-molecule	17	Chromosome	CM022648.1	=	NC_047543.1	Primary Assembly	5218183	na	6720861	chrSUPER_17	NC_047543.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_18	assembled-molecule	18	Chromosome	CM022649.1	=	NC_047544.1	Primary Assembly	5029921	na	6720861	chrSUPER_18	NC_047544.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_19	assembled-molecule	19	Chromosome	CM022650.1	=	NC_047545.1	Primary Assembly	4922880	na	6720861	chrSUPER_19	NC_047545.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_20	assembled-molecule	20	Chromosome	CM022651.1	=	NC_047546.1	Primary Assembly	2055740	na	6720861	chrSUPER_20	NC_047546.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_21	assembled-molecule	21	Chromosome	CM022652.1	=	NC_047547.1	Primary Assembly	2555005	na	6720861	chrSUPER_21	NC_047547.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_22	assembled-molecule	22	Chromosome	CM022653.1	=	NC_047548.1	Primary Assembly	1817768	na	6720861	chrSUPER_22	NC_047548.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_23	assembled-molecule	23	Chromosome	CM022654.1	=	NC_047549.1	Primary Assembly	1430276	na	6720861	chrSUPER_23	NC_047549.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_24	assembled-molecule	24	Chromosome	CM022655.1	=	NC_047550.1	Primary Assembly	1018390	na	6720861	chrSUPER_24	NC_047550.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_25	assembled-molecule	25	Chromosome	CM022656.1	=	NC_047551.1	Primary Assembly	425885	na	6720861	chrSUPER_25	NC_047551.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_26	assembled-molecule	26	Chromosome	CM022657.1	=	NC_047552.1	Primary Assembly	867402	na	6720861	chrSUPER_26	NC_047552.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_27	assembled-molecule	27	Chromosome	CM022658.1	=	NC_047553.1	Primary Assembly	936804	na	6720861	chrSUPER_27	NC_047553.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_28	assembled-molecule	28	Chromosome	CM022659.1	=	NC_047554.1	Primary Assembly	352337	na	6720861	chrSUPER_28	NC_047554.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_29	assembled-molecule	29	Chromosome	CM022660.1	=	NC_047555.1	Primary Assembly	368675	na	6720861	chrSUPER_29	NC_047555.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_30	assembled-molecule	30	Chromosome	CM022661.1	=	NC_047556.1	Primary Assembly	613772	na	6720861	chrSUPER_30	NC_047556.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_Z	assembled-molecule	Z	Chromosome	CM022662.1	=	NC_047557.1	Primary Assembly	104092594	na	6720861	chrSUPER_Z	NC_047557.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_W	assembled-molecule	W	Chromosome	CM022663.1	=	NC_047558.1	Primary Assembly	4022347	na	6720861	chrSUPER_W	NC_047558.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_W_unloc_1	unlocalized-scaffold	W	Chromosome	JAAVWG010000309.1	=	NW_022993942.1	Primary Assembly	3620516	na	6720861	chrSUPER_W_unloc_1	NW_022993942.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_W_unloc_2	unlocalized-scaffold	W	Chromosome	JAAVWG010000327.1	=	NW_022993944.1	Primary Assembly	3027513	na	6720861	chrSUPER_W_unloc_2	NW_022993944.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_W_unloc_3	unlocalized-scaffold	W	Chromosome	JAAVWG010000357.1	=	NW_022993945.1	Primary Assembly	2219833	na	6720861	chrSUPER_W_unloc_3	NW_022993945.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_W_unloc_4	unlocalized-scaffold	W	Chromosome	JAAVWG010000373.1	=	NW_022993946.1	Primary Assembly	1932255	na	6720861	chrSUPER_W_unloc_4	NW_022993946.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_W_unloc_5	unlocalized-scaffold	W	Chromosome	JAAVWG010000422.1	=	NW_022993947.1	Primary Assembly	1171771	na	6720861	chrSUPER_W_unloc_5	NW_022993947.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_W_unloc_6	unlocalized-scaffold	W	Chromosome	JAAVWG010000429.1	=	NW_022993948.1	Primary Assembly	1073181	na	6720861	chrSUPER_W_unloc_6	NW_022993948.1	MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna
SUPER_1	assembled-molecule	1	Chromosome	OV839361.1	<>	na	Primary Assembly	55805604	na	12133881	chrSUPER_1	OV839361.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_2	assembled-molecule	2	Chromosome	OV839362.1	<>	na	Primary Assembly	55413727	na	12133881	chrSUPER_2	OV839362.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_3	assembled-molecule	3	Chromosome	OV839363.1	<>	na	Primary Assembly	49239837	na	12133881	chrSUPER_3	OV839363.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_4	assembled-molecule	4	Chromosome	OV839364.1	<>	na	Primary Assembly	48363854	na	12133881	chrSUPER_4	OV839364.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_5	assembled-molecule	5	Chromosome	OV839365.1	<>	na	Primary Assembly	47463143	na	12133881	chrSUPER_5	OV839365.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_6	assembled-molecule	6	Chromosome	OV839366.1	<>	na	Primary Assembly	45224516	na	12133881	chrSUPER_6	OV839366.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_7	assembled-molecule	7	Chromosome	OV839367.1	<>	na	Primary Assembly	44895232	na	12133881	chrSUPER_7	OV839367.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_8	assembled-molecule	8	Chromosome	OV839368.1	<>	na	Primary Assembly	44730017	na	12133881	chrSUPER_8	OV839368.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_9	assembled-molecule	9	Chromosome	OV839369.1	<>	na	Primary Assembly	44706199	na	12133881	chrSUPER_9	OV839369.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_10	assembled-molecule	10	Chromosome	OV839370.1	<>	na	Primary Assembly	41278614	na	12133881	chrSUPER_10	OV839370.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_11	assembled-molecule	11	Chromosome	OV839372.1	<>	na	Primary Assembly	37569235	na	12133881	chrSUPER_11	OV839372.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_12	assembled-molecule	12	Chromosome	OV839373.1	<>	na	Primary Assembly	37312042	na	12133881	chrSUPER_12	OV839373.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_13	assembled-molecule	13	Chromosome	OV839374.1	<>	na	Primary Assembly	35025567	na	12133881	chrSUPER_13	OV839374.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_14	assembled-molecule	14	Chromosome	OV839375.1	<>	na	Primary Assembly	34431249	na	12133881	chrSUPER_14	OV839375.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_15	assembled-molecule	15	Chromosome	OV839376.1	<>	na	Primary Assembly	31970334	na	12133881	chrSUPER_15	OV839376.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_16	assembled-molecule	16	Chromosome	OV839377.1	<>	na	Primary Assembly	31417546	na	12133881	chrSUPER_16	OV839377.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_17	assembled-molecule	17	Chromosome	OV839378.1	<>	na	Primary Assembly	31036983	na	12133881	chrSUPER_17	OV839378.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_18	assembled-molecule	18	Chromosome	OV839379.1	<>	na	Primary Assembly	29659553	na	12133881	chrSUPER_18	OV839379.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_19	assembled-molecule	19	Chromosome	OV839380.1	<>	na	Primary Assembly	28745018	na	12133881	chrSUPER_19	OV839380.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_20	assembled-molecule	20	Chromosome	OV839381.1	<>	na	Primary Assembly	28026665	na	12133881	chrSUPER_20	OV839381.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_21	assembled-molecule	21	Chromosome	OV839382.1	<>	na	Primary Assembly	27960081	na	12133881	chrSUPER_21	OV839382.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_22	assembled-molecule	22	Chromosome	OV839383.1	<>	na	Primary Assembly	27196166	na	12133881	chrSUPER_22	OV839383.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_23	assembled-molecule	23	Chromosome	OV839384.1	<>	na	Primary Assembly	25482632	na	12133881	chrSUPER_23	OV839384.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_24	assembled-molecule	24	Chromosome	OV839385.1	<>	na	Primary Assembly	25380689	na	12133881	chrSUPER_24	OV839385.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_25	assembled-molecule	25	Chromosome	OV839386.1	<>	na	Primary Assembly	23930680	na	12133881	chrSUPER_25	OV839386.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_26	assembled-molecule	26	Chromosome	OV839387.1	<>	na	Primary Assembly	23474178	na	12133881	chrSUPER_26	OV839387.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_27	assembled-molecule	27	Chromosome	OV839388.1	<>	na	Primary Assembly	22464520	na	12133881	chrSUPER_27	OV839388.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_28	assembled-molecule	28	Chromosome	OV839389.1	<>	na	Primary Assembly	21930428	na	12133881	chrSUPER_28	OV839389.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_29	assembled-molecule	29	Chromosome	OV839390.1	<>	na	Primary Assembly	21757624	na	12133881	chrSUPER_29	OV839390.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_30	assembled-molecule	30	Chromosome	OV839391.1	<>	na	Primary Assembly	21432086	na	12133881	chrSUPER_30	OV839391.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_31	assembled-molecule	31	Chromosome	OV839392.1	<>	na	Primary Assembly	21271502	na	12133881	chrSUPER_31	OV839392.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_32	assembled-molecule	32	Chromosome	OV839393.1	<>	na	Primary Assembly	21169547	na	12133881	chrSUPER_32	OV839393.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_33	assembled-molecule	33	Chromosome	OV839394.1	<>	na	Primary Assembly	21076603	na	12133881	chrSUPER_33	OV839394.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_34	assembled-molecule	34	Chromosome	OV839395.1	<>	na	Primary Assembly	17587634	na	12133881	chrSUPER_34	OV839395.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_35	assembled-molecule	35	Chromosome	OV839396.1	<>	na	Primary Assembly	10404007	na	12133881	chrSUPER_35	OV839396.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
