speciescode	genomefa	seqid	chrname	seqlength	chrtype	krank	krank2
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839365.1	chr5	47463143	macro	18	18
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839376.1	chr15	31970334	macro	19	19
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839377.1	chr16	31417546	macro	20	20
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839369.1	chr9	44706199	macro	21	21
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839370.1	chr10	41278614	macro	22	22
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839366.1	chr6	45224516	macro	23	23
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839378.1	chr17	31036983	macro	24	24
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839383.1	chr22	27196166	macro	25	25
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839386.1	chr25	23930680	macro	26	26
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839387.1	chr26	23474178	macro	27	27
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839368.1	chr8	44730017	macro	28	28
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839367.1	chr7	44895232	macro	29	29
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839373.1	chr12	37312042	macro	30	30
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839360.1	chrZ	89764762	chrZ	31	31
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839371.1	chrW	39876367	chrW	32	32
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839375.1	chr14	34431249	macro	33	33
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839385.1	chr24	25380689	macro	34	34
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839389.1	chr28	21930428	macro	35	35
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839390.1	chr29	21757624	macro	36	36
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839396.1	chr35	10404007	macro	37	37
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839397.1	chr36	2110544	macro	38	38
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839398.1	chr37	653593	macro	39	39
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839399.1	chr38	428882	macro	40	40
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000094.1	chrcontig94	7272000	contig	41	41
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000305.1	chrcontig305	5973000	contig	42	42
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000234.1	chrcontig234	4336000	contig	43	43
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000084.1	chrcontig84	4290000	contig	44	44
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000005.1	chrcontig5	4236000	contig	45	45
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000297.1	chrcontig297	3214000	contig	46	46
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000184.1	chrcontig184	3048000	contig	47	47
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000120.1	chrcontig120	2953620	contig	48	48
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000050.1	chrcontig50	2853227	contig	49	49
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000137.1	chrcontig137	2635000	contig	50	50
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000004.1	chrcontig4	2612000	contig	51	51
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000118.1	chrcontig118	2423077	contig	52	52
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000049.1	chrcontig49	1987000	contig	53	53
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000178.1	chrcontig178	1970000	contig	54	54
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000046.1	chrcontig46	1838000	contig	55	55
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000327.1	chrcontig327	1811622	contig	56	56
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000284.1	chrcontig284	1627000	contig	57	57
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000339.1	chrcontig339	1589000	contig	58	58
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000182.1	chrcontig182	1575066	contig	59	59
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000391.1	chrcontig391	1542000	contig	60	60
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000278.1	chrcontig278	1538000	contig	61	61
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000367.1	chrcontig367	1499000	contig	62	62
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000073.1	chrcontig73	1394665	contig	63	63
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000400.1	chrcontig400	1265000	contig	64	64
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000162.1	chrcontig162	1191919	contig	65	65
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000306.1	chrcontig306	1181000	contig	66	66
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000381.1	chrcontig381	1156000	contig	67	67
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000268.1	chrcontig268	1143023	contig	68	68
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000286.1	chrcontig286	1133833	contig	69	69
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000103.1	chrcontig103	1074000	contig	70	70
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000015.1	chrcontig15	1068000	contig	71	71
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000252.1	chrcontig252	1055000	contig	72	72
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000329.1	chrcontig329	1054804	contig	73	73
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000023.1	chrcontig23	1041124	contig	74	74
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000301.1	chrcontig301	1029000	contig	75	75
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000201.1	chrcontig201	1021000	contig	76	76
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	CAKNBG010000039.1	chrcontig39	1013046	contig	77	77
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044244.1	chr1	197551010	macro	1	1
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044245.1	chr2	151342139	macro	2	2
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044246.1	chr3	114810999	macro	3	3
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044247.1	chr4	18597117	macro	4	4
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044248.1	chr4A	44745344	macro	5	5
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044249.1	chr4B	23291945	macro	6	6
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044250.1	chr5	16645885	macro	7	7
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044251.1	chr5A	43880846	macro	8	8
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044252.1	chr6	35401958	macro	9	9
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044253.1	chr7	39139214	macro	10	10
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044254.1	chr8	31090148	macro	11	11
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044255.1	chr9	25686456	micro	14	14
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044256.1	chr10	22664390	micro	15	15
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044257.1	chr11	20302349	micro	17	17
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044258.1	chr12	21352500	micro	16	16
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044259.1	chr13	17696115	micro	18	18
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044260.1	chr14	15497061	micro	19	19
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044261.1	chr15	13887164	micro	21	21
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044262.1	chr17	10473655	micro	24	24
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044263.1	chr18	11617720	micro	22	22
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044264.1	chr19	11166003	micro	23	23
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044265.1	chr20	15116875	micro	20	20
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044266.1	chr21	7710055	micro	25	25
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044267.1	chr22	5198135	micro	31	31
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044268.1	chr23	6423903	micro	27	27
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044269.1	chr24	6461084	micro	26	26
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044270.1	chr25	2161911	micro	32	32
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044271.1	chr26	6306732	micro	28	28
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044272.1	chr27	5749075	micro	29	29
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044273.1	chr28	5713987	micro	30	30
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044274.1	chrZ	74081004	chrZ	12	12
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044276.1	chrW	26448777	chrW	13	13
CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna	NC_044275.1	chr33	1888140	micro	33	33
FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna	NC_051187.1	chr1	126922963	macro	9	9
FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna	NC_051188.1	chr2	122153554	macro	2	2
FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna	NC_051189.1	chr3	121276792	macro	3	3
FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna	NC_051190.1	chr4	112438257	macro	4	4
FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna	NC_051191.1	chr5	92439089	macro	1	1
FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna	NC_051192.1	chr6	91094845	macro	5	5
FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna	NC_051193.1	chr7	72902640	macro	6	6
FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna	NC_051194.1	chr8	65417759	macro	7	7
FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna	NC_051195.1	chr9	54018959	macro	8	8
FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna	NC_051196.1	chr10	38161925	micro	12	12
FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna	NC_051197.1	chr11	35666015	micro	13	13
FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna	NC_051198.1	chr12	33884028	micro	14	14
FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna	NC_051199.1	chr13	30790089	micro	15	15
FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna	NC_051200.1	chr14	24097451	micro	16	16
FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna	NC_051201.1	chr15	23311196	micro	17	17
FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna	NC_051202.1	chr16	8171160	micro	18	18
FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna	NC_051203.1	chr17	7845494	micro	19	19
FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna	NC_051204.1	chr18	6718660	micro	20	20
FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna	NC_051205.1	chr19	6450865	micro	21	21
FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna	NC_051206.1	chr20	6217219	micro	22	22
FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna	NC_051207.1	chr21	485429	micro	23	23
FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna	NC_051208.1	chr22	425072	micro	24	24
FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna	NC_051209.1	chrW	25584520	chrW	11	11
FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna	NC_051210.1	chrZ	84785561	chrZ	10	10
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NC_044279.2	chr3	89082643	macro	1	1
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NC_044278.2	chr2	123023803	macro	2	2
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NC_044277.2	chr1	155644563	macro	3	3
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NC_044282.2	chr6	76431904	macro	4	4
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NC_046359.1	chr10	43764472	macro	5	5
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NC_046358.1	chr4	86460390	macro	6	6
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NC_044281.2	chr5	83240647	macro	7	7
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NC_044285.2	chr9	44431488	macro	8	8
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NC_044288.2	chr12	27433492	micro	9	9
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NC_044284.2	chr8	63488934	macro	10	10
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NC_044283.2	chr7	70131234	macro	11	11
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NC_046360.1	chr11	39187110	macro	12	12
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NC_044302.2	chrZ	101869369	chrZ	13	13
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NC_044301.2	chrW	37425726	chrW	14	14
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NC_044289.2	chr13	16476160	micro	15	15
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NC_044290.2	chr14	12884122	micro	16	16
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NC_044291.2	chr15	12307978	micro	17	17
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NC_044292.2	chr16	8419051	micro	18	18
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NC_044293.2	chr17	7441144	micro	19	19
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NC_044294.2	chr18	6734548	micro	20	20
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NC_044295.2	chr19	5789228	micro	21	21
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NC_044296.2	chr20	5645757	micro	22	22
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NC_044297.2	chr21	5492648	micro	23	23
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NC_044298.2	chr22	2907026	micro	24	24
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NC_044299.2	chr23	2785283	micro	25	25
STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna	NW_022651054.1	chrS16	12224398	contig	26	26
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029888.1	chr1	135784184	macro	3	3
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029889.1	chr2	126756607	macro	2	2
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029890.1	chr3	120665646	macro	5	5
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029891.1	chr4	89048441	macro	1	1
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029892.1	chr5	87369712	macro	8	8
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029893.1	chr6	84757147	macro	7	7
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029894.1	chr7	70115537	macro	6	6
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029895.1	chr8	44667958	macro	9	9
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029896.1	chr9	30254257	micro	4	4
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029897.1	chr10	29531822	micro	11	11
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029898.1	chr11	25484755	micro	13	13
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029899.1	chr12	24828000	micro	12	12
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029900.1	chr13	23323796	micro	14	14
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029901.1	chr14	20511837	micro	15	15
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029902.1	chr15	15495389	micro	16	16
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029903.1	chr16	15162211	micro	17	17
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029904.1	chr17	11712724	micro	18	18
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029905.1	chr18	11438065	micro	19	19
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029906.1	chr19	10169435	micro	20	20
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029907.1	chr20	8265307	micro	21	21
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029908.1	chr21	6617477	micro	22	22
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029909.1	chr22	6413794	micro	23	23
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029910.1	chr23	5312113	micro	24	24
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029911.1	chr24	4817293	micro	25	25
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029912.1	chr25	2747514	micro	26	26
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029913.1	chr26	1964735	micro	28	28
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029914.1	chr27	2203763	micro	27	27
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029915.1	chr28	436143	micro	29	29
AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna	CM029916.1	chrZ	109009802	chrZ	10	10
MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna	CM029917.1	chr1	117696736	macro	10	10
MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna	CM029918.1	chr2	106141279	macro	4	4
MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna	CM029919.1	chr3	98382757	macro	2	2
MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna	CM029920.1	chr4	90244086	macro	1	1
MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna	CM029921.1	chr5	75716676	macro	9	9
MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna	CM029922.1	chr6	74194987	macro	5	5
MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna	CM029923.1	chr7	70129270	macro	12	12
MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna	CM029924.1	chr8	69699566	macro	7	7
MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna	CM029925.1	chr9	69647745	macro	6	6
MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna	CM029926.1	chr10	49939422	macro	8	8
MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna	CM029927.1	chr11	44144112	macro	3	3
MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna	CM029928.1	chr12	41141276	macro	13	13
MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna	CM029929.1	chr13	23813181	micro	14	14
MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna	CM029930.1	chr14	18932000	micro	15	15
MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna	CM029931.1	chr15	12665777	micro	17	17
MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna	CM029932.1	chr16	11934268	micro	18	18
MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna	CM029933.1	chr17	11822879	micro	19	19
MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna	CM029934.1	chr18	8248965	micro	20	20
MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna	CM029935.1	chr19	6703000	micro	21	21
MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna	CM029936.1	chr20	6482841	micro	22	22
MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna	CM029937.1	chr21	5216595	micro	23	23
MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna	CM029938.1	chr22	3787736	micro	24	24
MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna	CM029939.1	chr23	3782409	micro	25	25
MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna	CM029940.1	chrW	13754614	chrW	16	16
MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna	CM029941.1	chrZ	108106819	chrZ	11	11
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054058.1	chr5	92799756	macro	1	1
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054055.1	chr2	123266599	macro	2	2
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054056.1	chr3	121309295	macro	3	3
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054057.1	chr4	113493826	macro	4	4
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054059.1	chr6	91761059	macro	5	5
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054062.1	chr9	53797355	macro	6	6
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054060.1	chr7	72773804	macro	7	7
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054061.1	chr8	65292525	macro	8	8
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054054.1	chr1	127440759	macro	9	9
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054080.1	chrZ	86597978	chrZ	10	10
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054079.1	chrW	29619203	chrW	11	11
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054063.1	chr10	37994407	micro	12	12
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054064.1	chr11	35657873	micro	13	13
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054065.1	chr12	33982695	micro	14	14
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054066.1	chr13	30439962	micro	15	15
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054067.1	chr14	24024792	micro	16	16
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054068.1	chr15	23244174	micro	17	17
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054069.1	chr16	8214878	micro	18	18
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054070.1	chr17	7799962	micro	19	19
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054071.1	chr18	6763153	micro	20	20
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054072.1	chr19	6356591	micro	21	21
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054073.1	chr20	4296277	micro	22	22
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054075.1	chr22	1112751	micro	23	23
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054074.1	chr21	784962	micro	24	24
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054077.1	chr24	321293	micro	25	25
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054076.1	chr23	304746	micro	26	26
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NC_054078.1	chr25	298424	micro	27	27
FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna	NW_024427345.1	Scaf20	1470811	contig	28	28
MALCY	GCA_009741485.1_mCya_1.0_genomic.fna	CM019237.1	chr1A	68113514	macro	1	1
MALCY	GCA_009741485.1_mCya_1.0_genomic.fna	CM019214.1	chr1	125327729	macro	2	2
MALCY	GCA_009741485.1_mCya_1.0_genomic.fna	CM019215.1	chr2	163994238	macro	3	3
MALCY	GCA_009741485.1_mCya_1.0_genomic.fna	CM019216.1	chr3	108862264	macro	4	4
MALCY	GCA_009741485.1_mCya_1.0_genomic.fna	CM019238.1	chr4A	18590865	macro	5	5
MALCY	GCA_009741485.1_mCya_1.0_genomic.fna	CM019217.1	chr4	72114811	macro	6	6
MALCY	GCA_009741485.1_mCya_1.0_genomic.fna	CM019218.1	chr5	54648960	macro	7	7
MALCY	GCA_009741485.1_mCya_1.0_genomic.fna	CM019219.1	chr6	33730512	macro	8	8
MALCY	GCA_009741485.1_mCya_1.0_genomic.fna	CM019220.1	chr7	35833528	macro	9	9
MALCY	GCA_009741485.1_mCya_1.0_genomic.fna	CM019221.1	chr8	30903845	macro	10	10
MALCY	GCA_009741485.1_mCya_1.0_genomic.fna	CM019236.1	chrZ	68919493	chrZ	11	11
MALCY	GCA_009741485.1_mCya_1.0_genomic.fna	CM019222.1	chr9	24524688	micro	12	12
MALCY	GCA_009741485.1_mCya_1.0_genomic.fna	CM019225.1	chr12	21599073	micro	13	13
MALCY	GCA_009741485.1_mCya_1.0_genomic.fna	CM019223.1	chr10	20322568	micro	14	14
MALCY	GCA_009741485.1_mCya_1.0_genomic.fna	CM019224.1	chr11	19365417	micro	15	15
MALCY	GCA_009741485.1_mCya_1.0_genomic.fna	CM019227.1	chr14	19339659	micro	16	16
MALCY	GCA_009741485.1_mCya_1.0_genomic.fna	CM019226.1	chr13	19041980	micro	17	17
MALCY	GCA_009741485.1_mCya_1.0_genomic.fna	CM019231.1	chr20	14958557	micro	18	18
MALCY	GCA_009741485.1_mCya_1.0_genomic.fna	CM019228.1	chr15	14687692	micro	19	19
MALCY	GCA_009741485.1_mCya_1.0_genomic.fna	CM019229.1	chr17	12352952	micro	20	20
MALCY	GCA_009741485.1_mCya_1.0_genomic.fna	CM019230.1	chr18	12157022	micro	21	21
MALCY	GCA_009741485.1_mCya_1.0_genomic.fna	CM019232.1	chr21	5216931	micro	22	22
MALCY	GCA_009741485.1_mCya_1.0_genomic.fna	CM019235.1	chr28	3944638	micro	23	23
MALCY	GCA_009741485.1_mCya_1.0_genomic.fna	CM019233.1	chr23	3934935	micro	24	24
